EVENT,BOUT,OUTCOME,WEIGHTCLASS,IS TITLE,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,EVENT_URL
UFC Fight Night: Della Maddalena vs. Prates ,Jack Della Maddalena vs. Carlos Prates,L/W,Welterweight Bout,True,KO/TKO ,3,3:17,5 Rnd (5-5-5-5-5),Mike Beltran,Elbows to Body From Half Guard ,http://ufcstats.com/fight-details/eb6d9fef6c374830,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Beneil Dariush vs. Quillan Salkilld,L/W,Lightweight Bout,True,KO/TKO ,1,3:29,3 Rnd (5-5-5),Rich Mitchell,Punches to Head On Ground ,http://ufcstats.com/fight-details/5c7c38dece435cde,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Tim Elliott vs. Steve Erceg,L/W,Flyweight Bout,False,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Christie 28 - 29.Darryl Ransom 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/afec383a96893ec5,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Marwan Rahiki vs. Ollie Schmid,W/L,Featherweight Bout,False,KO/TKO ,1,2:47,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/cfc884a249141cba,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Shamil Gaziev vs. Brando Pericic,L/W,Heavyweight Bout,True,KO/TKO ,2,3:44,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance ,http://ufcstats.com/fight-details/a564219e7a964aa6,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Tai Tuivasa vs. Louie Sutherland,L/W,Heavyweight Bout,False,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Evan Field 26 - 30.Nathan Pintabona 26 - 30.Clemens Werner 26 - 30.,http://ufcstats.com/fight-details/2afaa97901d5587c,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Cam Rowston vs. Robert Bryczek,W/L,Middleweight Bout,False,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Christie 27 - 30.Mick Meany 27 - 30.Darryl Ransom 27 - 30.,http://ufcstats.com/fight-details/46181797eb543a0b,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Junior Tafa vs. Kevin Christian,W/L,Light Heavyweight Bout,False,KO/TKO ,1,2:42,3 Rnd (5-5-5),Matt Wynne,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/1cb0711cd49dd95e,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Jacob Malkoun vs. Gerald Meerschaert,W/L,Middleweight Bout,False,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Christie 28 - 29.Evan Field 28 - 29.Mick Meany 28 - 29.,http://ufcstats.com/fight-details/edff38661bf2866b,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates ,Colby Thicknesse vs. Vince Morales,W/L,Bantamweight Bout,False,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Sal D'amato 28 - 29.Nathan Pintabona 28 - 29.Darryl Ransom 28 - 29.,http://ufcstats.com/fight-details/00bde62cac38e5e9,http://ufcstats.com/event-details/872b018076f831b0
